Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","30,470",2.52,1.27,0.01,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Adopt","84,838",1.40,1.24,0.00,0.00,"Project_Valerian.exe",
"std::less<Coordinate>::operator()","315,330",1.31,1.24,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::~_String_alloc<std::_String_base_types<char,std::allocator<char> > >","48,407",7.52,1.24,0.01,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Mylast","21,277",1.21,1.18,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator+=","9,463",1.25,1.18,0.01,0.01,"Project_Valerian.exe",
"std::forward<std::_Container_proxy>","61,145",1.15,1.15,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::end","9,506",1.09,1.00,0.01,0.01,"Project_Valerian.exe",
"std::_Iterator_base12::~_Iterator_base12","84,918",1.16,1.00,0.00,0.00,"Project_Valerian.exe",
"FC_LoadFontFromTTF",5,1.20,0.94,20.29,15.97,"Project_Valerian.exe",
"AI_Stats_Component::Handle_Stat_Message","92,565",0.97,0.94,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Check_For_Messages",605,2.89,0.90,0.40,0.13,"Project_Valerian.exe",
"_RTC_CheckStackVars","1,016,566",0.77,0.77,0.00,0.00,"Project_Valerian.exe",
"operator delete","60,254",0.72,0.72,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Free_proxy","48,407",6.19,0.70,0.01,0.00,"Project_Valerian.exe",
"Spritesheet::Init_As_Multisprite",368,0.60,0.60,0.14,0.14,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Alloc_proxy","56,311",2.49,0.46,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::~_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","73,744",1.53,0.40,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Get_data","637,873",1.62,0.32,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Draw_Directly","8,986",0.32,0.32,0.00,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::operator=","51,152",0.44,0.29,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Key","186,305",3.47,0.29,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Init",7,0.25,0.25,3.05,3.04,"Project_Valerian.exe",
"??0_Lockit@std@@QAE@H@Z","289,008",0.25,0.25,0.00,0.00,"MSVCP140D.dll",
"??1_Lockit@std@@QAE@XZ","289,008",0.24,0.24,0.00,0.00,"MSVCP140D.dll",
"FC_UploadGlyphCache",5,0.24,0.24,4.01,4.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct_lv_contents","34,751",1.86,0.21,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::free",375,0.21,0.21,0.05,0.05,"Project_Valerian.exe",
"Draw_System::Stamp_Sprite_Onto_Multisprite","10,882",0.71,0.20,0.01,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Eqrange<Coordinate>","5,427",7.18,0.20,0.11,0.00,"Project_Valerian.exe",
"Spritesheet::Set_Sprite_As_Render_Target","10,882",0.19,0.19,0.00,0.00,"Project_Valerian.exe",
"Draw_System::__autoclassinit2",1,0.15,0.15,12.89,12.89,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Compare","81,720",2.50,0.13,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Lbound<Coordinate>","8,904",3.89,0.12,0.04,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_String_alloc<std::_String_base_types<char,std::allocator<char> > ><std::allocator<char>,void>","40,464",2.37,0.12,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Kfn","187,459",3.18,0.11,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_comp_alloc<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Getcomp","176,295",1.04,0.11,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Tidy_deallocate","50,665",0.62,0.10,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::push_back","23,303",0.17,0.10,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1><std::allocator<char> >","40,464",0.14,0.09,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","34,751",4.16,0.08,0.01,0.00,"Project_Valerian.exe",
"std::allocator<std::_Container_proxy>::allocate","61,145",0.39,0.08,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myfirst","49,256",0.11,0.08,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::size","16,054",0.17,0.07,0.00,0.00,"Project_Valerian.exe",
"SDL_main",1,82.20,0.07,"6,949.98",6.26,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Get_second","637,873",0.07,0.07,0.00,0.00,"Project_Valerian.exe",
"Scene_Graph::Create_New_Structure",604,15.68,0.07,2.20,0.01,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","42,068",0.45,0.07,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::~_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>","48,407",0.10,0.07,0.00,0.00,"Project_Valerian.exe",
"std::map<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> > >::_Try_emplace<Coordinate const &>","8,904",6.81,0.07,0.06,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Get_data","125,604",0.08,0.07,0.00,0.00,"Project_Valerian.exe",
"FC_LoadFont_RW",5,1.27,0.07,21.40,1.11,"Project_Valerian.exe",
"Coordinate::operator<","315,330",0.07,0.07,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::construct<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::basic_string<char,std::char_traits<char>,std::allocator<char> > &>","32,103",4.07,0.06,0.01,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::~basic_string<char,std::char_traits<char>,std::allocator<char> >","48,407",8.18,0.06,0.01,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>::~_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>","11,174",0.09,0.06,0.00,0.00,"Project_Valerian.exe",
"std::_Uninitialized_backout_al<std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::_Emplace_back<std::basic_string<char,std::char_traits<char>,std::allocator<char> > &>","32,103",4.13,0.06,0.01,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Orphan_me","169,756",0.06,0.06,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::_Container_proxy> >::deallocate","52,633",0.27,0.06,0.00,0.00,"Project_Valerian.exe",
"Draw_System::Add_New_Spritesheet_To_Multisprite",368,0.67,0.06,0.15,0.01,"Project_Valerian.exe",
"std::_Container_base12::_Orphan_all","116,494",0.20,0.06,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Orphan_all","8,444",0.07,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>","61,145",1.21,0.05,0.00,0.00,"Project_Valerian.exe",
"std::getline<char,std::char_traits<char>,std::allocator<char> >",106,1.41,0.05,1.12,0.04,"Project_Valerian.exe",
"std::_Uninitialized_copy_al_unchecked<std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","3,458",4.20,0.05,0.10,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_String_val<std::_Simple_types<char> >","56,311",0.06,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Destroy_range1<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","8,420",7.80,0.05,0.08,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::max_size","12,610",0.07,0.05,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","10,397",0.09,0.04,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Tidy_init","23,818",0.06,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Mylast","27,622",0.06,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,bool,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,bool> >,0> >::_Eqrange<Coordinate>","1,224",0.21,0.04,0.01,0.00,"Project_Valerian.exe",
"std::_Deallocate_plain<std::allocator<std::_Container_proxy>,0>","52,633",0.32,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Allocate<8,std::_Default_allocate_traits,0>","69,118",0.37,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_String_alloc<std::_String_base_types<char,std::allocator<char> > >","15,846",0.47,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myfirst","24,376",0.06,0.04,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Assign_rv_contents_with_alloc_always_equal","7,971",0.14,0.04,0.00,0.00,"Project_Valerian.exe",
"std::basic_filebuf<char,std::char_traits<char> >::open",8,0.04,0.04,0.39,0.38,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myproxy","23,370",0.05,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1><>","15,846",0.05,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::destroy<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >","37,837",7.75,0.03,0.02,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::lower_bound","8,904",5.18,0.03,0.05,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Alloc_proxy","3,895",0.09,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Get_data","53,393",0.05,0.03,0.00,0.00,"Project_Valerian.exe",
"Scene_Graph::Return_Neighboring_Tiles",603,9.80,0.03,1.37,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Get_data","51,261",0.04,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Getal","49,900",0.04,0.03,0.00,0.00,"Project_Valerian.exe",
"AI_Movement_Component::Return_Grid_Coord","457,986",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"Render_Component::Build_Wall_Multisprite","1,897",0.67,0.03,0.03,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::_Buy","3,556",0.13,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,bool,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,bool> >,0> >::_Key","17,675",0.04,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Myptr","33,153",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::operator[]","11,318",0.18,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::~_String_val<std::_Simple_types<char> >","48,407",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"rand","7,170",0.02,0.02,0.00,0.00,"ucrtbased.dll",
"AI_Job_Component::Clear_Instruction_Array",608,0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","3,458",6.67,0.02,0.16,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Myptr","41,119",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Deallocate<8,0>","60,236",0.26,0.02,0.00,0.00,"Project_Valerian.exe",
"FC_LoadFont",5,1.29,0.02,21.78,0.37,"Project_Valerian.exe",
"std::_Compressed_pair<std::less<Coordinate>,std::_Compressed_pair<std::allocator<std::_Tree_node<std::pair<Coordinate const ,Tile>,void *> >,std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,1>,1>::_Get_first","176,295",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",1,0.02,0.02,1.80,1.80,"MSVCP140D.dll",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myend","12,339",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::pair<std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >,bool>::pair<std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >,bool><std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > > &,bool,0>","8,302",0.11,0.02,0.00,0.00,"Project_Valerian.exe",
"Item_Slot::Item_Slot","48,640",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"Object_Service_Locator::Return_AI_Movement_Pointer","457,381",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"strtol","3,584",0.02,0.02,0.00,0.00,"ucrtbased.dll",
"Object::Get_Assigned_Flag","183,924",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::_Tidy","3,895",6.42,0.02,0.14,0.00,"Project_Valerian.exe",
"std::_Debug_lt_pred<std::less<Coordinate> &,Coordinate const &,Coordinate const &>","10,406",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_comp_alloc<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Get_data","20,835",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Update_Stat","364,815",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::map<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> > >::operator[]","8,904",6.96,0.02,0.07,0.00,"Project_Valerian.exe",
"__security_check_cookie","1,000,691",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::operator->","8,904",0.04,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>","3,216",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::operator==","18,401",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::char_traits<char>::copy","35,404",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","6,257",0.28,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Large_string_engaged","132,908",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Free_proxy","3,895",0.10,0.02,0.00,0.00,"Project_Valerian.exe",
"std::map<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> > >::try_emplace<>","8,904",6.82,0.02,0.06,0.00,"Project_Valerian.exe",
"`eh vector constructor iterator'",634,0.43,0.02,0.06,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::`scalar deleting destructor'","37,837",7.71,0.02,0.02,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","5,713",0.31,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::~_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","73,744",1.54,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","42,068",0.38,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::operator!=","8,294",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::size","9,489",0.02,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Destroy_range<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","8,420",7.81,0.01,0.08,0.00,"Project_Valerian.exe",
"std::_Tree_comp_alloc<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Get_data","14,934",0.02,0.01,0.00,0.00,"Project_Valerian.exe",
"Equipment_Slot::Equipment_Slot","6,080",0.24,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Getal","26,080",0.02,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::count","5,427",7.74,0.01,0.12,0.00,"Project_Valerian.exe",
"fclose",8,0.01,0.01,0.15,0.15,"ucrtbased.dll",
"std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::operator*","8,904",0.02,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::_Vector_val<std::_Simple_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,1>::_Get_second","125,604",0.01,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Iterator_base12","50,477",0.44,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > > >","7,650",0.08,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Insert_hint<std::pair<Coordinate const ,Tile> &,std::_Tree_node<std::pair<Coordinate const ,Tile>,void *> *>",602,0.09,0.01,0.01,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > ><std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,void>","3,797",0.11,0.01,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::max_size","4,864",0.02,0.01,0.00,0.00,"Project_Valerian.exe",
"std::char_traits<char>::assign","131,592",0.01,0.01,0.00,0.00,"Project_Valerian.exe",
