Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Spritesheet::Init_As_Multisprite",368,0.45,0.45,0.14,0.14,"Project_Valerian.exe",
"Object::Draw","82,500",1.68,0.40,0.00,0.00,"Project_Valerian.exe",
"AI_Movement_Component::Return_World_Pos","99,900",0.37,0.37,0.00,0.00,"Project_Valerian.exe",
"Global_Service_Locator::get_Draw_System_Pointer","157,369",0.36,0.36,0.00,0.00,"Project_Valerian.exe",
"AI_Movement_Component::Check_For_Messages","99,900",1.02,0.31,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Handle_Stat_Message","185,130",0.95,0.26,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Draw_Directly","9,150",0.24,0.24,0.00,0.00,"Project_Valerian.exe",
"_RTC_CheckStackVars","1,784,902",0.24,0.24,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Get_second","772,042",0.24,0.24,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Init",7,0.23,0.23,3.86,3.85,"Project_Valerian.exe",
"??0_Lockit@std@@QAE@H@Z","349,750",0.22,0.22,0.00,0.00,"MSVCP140D.dll",
"Render_Component::Draw","182,400",2.33,0.22,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::_Vector_val<std::_Simple_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,1>::_Get_second","53,393",0.22,0.22,0.00,0.00,"Project_Valerian.exe",
"??1_Lockit@std@@QAE@XZ","349,750",0.21,0.21,0.00,0.00,"MSVCP140D.dll",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Alloc_proxy","67,737",2.16,0.20,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Orphan_all","129,613",2.06,0.19,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Key","205,850",1.22,0.17,0.00,0.00,"Project_Valerian.exe",
"FC_UploadGlyphCache",5,0.16,0.16,3.81,3.79,"Project_Valerian.exe",
"Spritesheet::Set_Sprite_As_Render_Target","10,882",0.15,0.15,0.00,0.00,"Project_Valerian.exe",
"Draw_System::Stamp_Sprite_Onto_Multisprite","10,882",0.56,0.15,0.01,0.00,"Project_Valerian.exe",
"AI_Movement_Component::Return_Grid_Coord","656,546",0.14,0.14,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_comp_alloc<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Getcomp","193,981",0.18,0.12,0.00,0.00,"Project_Valerian.exe",
"AI_Job_Component::Process_Next_Goal","100,403",4.01,0.12,0.00,0.00,"Project_Valerian.exe",
"AI_Job_Component::Action_Triage","100,403",3.88,0.12,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct_lv_contents","45,641",0.35,0.12,0.00,0.00,"Project_Valerian.exe",
"Coordinate::operator<","370,712",0.11,0.11,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::~_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","79,321",1.02,0.11,0.00,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Orphan_me","206,779",0.12,0.11,0.00,0.00,"Project_Valerian.exe",
"Object::Get_Assigned_Flag","482,403",0.11,0.11,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Getal","153,996",0.16,0.11,0.00,0.00,"Project_Valerian.exe",
"AI_Movement_Component::Update","100,478",0.97,0.11,0.00,0.00,"Project_Valerian.exe",
"Object_Service_Locator::Return_AI_Movement_Pointer","556,054",0.10,0.10,0.00,0.00,"Project_Valerian.exe",
"AI_Job_Component::Check_For_Messages","99,825",0.19,0.09,0.00,0.00,"Project_Valerian.exe",
"Draw_System::__autoclassinit2",1,0.09,0.09,10.88,10.88,"Project_Valerian.exe",
"Object::Draw","99,900",1.50,0.09,0.00,0.00,"Project_Valerian.exe",
"Render_Component::Draw_With_Multi_Clip","60,720",0.68,0.09,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Compare","99,406",1.94,0.09,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Get_data","125,604",0.15,0.09,0.00,0.00,"Project_Valerian.exe",
"FC_DefaultRenderCallback","12,344",0.08,0.08,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Tidy_deallocate","62,262",1.88,0.07,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Eqrange<Coordinate>","5,427",1.68,0.07,0.04,0.00,"Project_Valerian.exe",
"Render_Component::Draw_With_Background_Renderer","82,500",0.52,0.07,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::~_String_alloc<std::_String_base_types<char,std::allocator<char> > >","59,823",2.92,0.06,0.01,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_String_alloc<std::_String_base_types<char,std::allocator<char> > ><std::allocator<char>,void>","51,354",2.03,0.06,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>","72,586",0.10,0.06,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1><std::allocator<char> >","51,354",0.15,0.06,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Return_Object_Type","282,878",0.06,0.06,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocate_traits::_Allocate","81,148",0.38,0.06,0.00,0.00,"Project_Valerian.exe",
"std::_Allocate<8,std::_Default_allocate_traits,0>","81,148",0.44,0.06,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::~basic_string<char,std::char_traits<char>,std::allocator<char> >","59,823",4.84,0.06,0.01,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Large_string_engaged","174,235",0.05,0.05,0.00,0.00,"Project_Valerian.exe",
"std::allocator<std::_Container_proxy>::allocate","72,586",0.46,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_String_val<std::_Simple_types<char> >","67,737",0.10,0.05,0.00,0.00,"Project_Valerian.exe",
"Scene_Graph::Collect_Bus_Messages",165,17.23,0.05,12.35,0.04,"Project_Valerian.exe",
"AI_Job_Component::Update","100,403",4.06,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","34,129",0.18,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::less<Coordinate>,std::_Compressed_pair<std::allocator<std::_Tree_node<std::pair<Coordinate const ,Tile>,void *> >,std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,1>,1>::_Get_first","193,981",0.05,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::~_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>","59,823",0.12,0.05,0.00,0.00,"Project_Valerian.exe",
"FC_LoadFont_RW",5,0.78,0.05,18.51,1.13,"Project_Valerian.exe",
"std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0>::_Kfn<Coordinate const ,Tile>","207,122",0.05,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Deallocate<8,0>","72,251",0.33,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Get_first","153,996",0.05,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::_Container_proxy> >::deallocate","64,059",0.32,0.04,0.00,0.00,"Project_Valerian.exe",
"Draw_System::Add_Sprite_Render_Job_To_Render_Cycle","85,476",0.13,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Myptr","63,211",0.07,0.04,0.00,0.00,"Project_Valerian.exe",
"std::allocator<std::_Container_proxy>::allocator<std::_Container_proxy><char>","127,560",0.04,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Deallocate_plain<std::allocator<std::_Container_proxy>,0>","64,059",0.37,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::~_String_val<std::_Simple_types<char> >","59,823",0.06,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::_Vector_val<std::_Simple_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,1>::_Get_second","125,604",0.04,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>::~_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>","22,348",0.09,0.04,0.00,0.00,"Project_Valerian.exe",
"std::char_traits<char>::assign","152,839",0.04,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myfirst","49,256",0.10,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::construct<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::basic_string<char,std::char_traits<char>,std::allocator<char> > &>","32,103",3.49,0.04,0.01,0.00,"Project_Valerian.exe",
"std::char_traits<char>::copy","46,294",0.04,0.04,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Return_Stat_Value","182,207",0.04,0.04,0.00,0.00,"Project_Valerian.exe",
"Item_Slot::Item_Slot","48,640",0.06,0.04,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::push_back","24,779",0.12,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Get_data","53,393",0.26,0.04,0.00,0.00,"Project_Valerian.exe",
"std::map<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> > >::_Try_emplace<Coordinate const &>","10,645",5.01,0.04,0.06,0.00,"Project_Valerian.exe",
"Draw_System::Add_New_Spritesheet_To_Multisprite",368,0.50,0.03,0.16,0.01,"Project_Valerian.exe",
"std::_Iterator_base12::_Iterator_base12","61,325",3.36,0.03,0.01,0.00,"Project_Valerian.exe",
"Scene_Graph::Draw_Background",165,1.71,0.03,1.23,0.02,"Project_Valerian.exe",
"std::_Uninitialized_backout_al<std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::_Emplace_back<std::basic_string<char,std::char_traits<char>,std::allocator<char> > &>","32,103",3.55,0.03,0.01,0.00,"Project_Valerian.exe",
"operator new","122,197",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"Render_Component::Update","100,478",0.09,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","43,868",3.45,0.03,0.01,0.00,"Project_Valerian.exe",
"std::_Unfancy<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >","75,674",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Get_second","73,353",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"Scene_Graph::Update",166,29.62,0.03,21.10,0.02,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Myptr","40,610",0.05,0.03,0.00,0.00,"Project_Valerian.exe",
"std::basic_filebuf<char,std::char_traits<char> >::open",8,0.03,0.03,0.44,0.43,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Tidy_init","24,535",0.06,0.03,0.00,0.00,"Project_Valerian.exe",
"Draw_System::Draw_Primitives",495,0.03,0.03,0.01,0.01,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::`scalar deleting destructor'","37,837",3.68,0.03,0.01,0.00,"Project_Valerian.exe",
"Draw_System::Add_Multisprite_Render_Job_To_Render_Cycle","60,720",0.54,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","43,868",2.52,0.03,0.01,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::max_size","12,940",0.07,0.03,0.00,0.00,"Project_Valerian.exe",
"__stdio_common_vsprintf","5,615",0.03,0.03,0.00,0.00,"ucrtbased.dll",
"std::_Tree<std::_Tmap_traits<Coordinate,bool,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,bool> >,0> >::_Eqrange<Coordinate>","2,448",0.23,0.03,0.01,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::destroy<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >","37,837",3.71,0.03,0.01,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","16,378",0.09,0.03,0.00,0.00,"Project_Valerian.exe",
"Scene_Graph::Create_New_Structure",604,11.50,0.02,2.25,0.00,"Project_Valerian.exe",
"Scene_Graph::Draw",165,3.26,0.02,2.34,0.02,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,bool,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,bool> >,0> >::_Key","35,350",0.05,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Mylast","27,622",0.07,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Container_proxy::_Container_proxy","72,586",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Container_base12::_Container_base12","72,586",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Get_size_of_n<8>","72,614",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::addressof<std::_String_val<std::_Simple_types<char> > >","84,041",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"FC_LoadFont",5,0.80,0.02,19.00,0.49,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","34,129",0.21,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Get_first","66,746",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_String_alloc<std::_String_base_types<char,std::allocator<char> > >","16,218",1.18,0.02,0.01,0.00,"Project_Valerian.exe",
"FC_RenderLeft","5,610",0.14,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::lower_bound","10,645",3.18,0.02,0.04,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myfirst","24,376",0.05,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Bxty::_Bxty","67,737",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::getline<char,std::char_traits<char>,std::allocator<char> >",106,1.99,0.02,2.22,0.02,"Project_Valerian.exe",
"AI_Rel_Component::Update","100,478",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::forward<std::_Container_proxy>","72,586",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_comp_alloc<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Get_data","24,612",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Unfancy<std::_Container_proxy>","72,586",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Bxty::~_Bxty","59,823",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"rand","7,200",0.02,0.02,0.00,0.00,"ucrtbased.dll",
"std::forward<std::basic_string<char,std::char_traits<char>,std::allocator<char> > &>","64,206",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"AI_Job_Component::Clear_Instruction_Array",611,0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myproxy","23,370",0.04,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Mylast","21,277",0.96,0.02,0.01,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::_Container_proxy> >::destroy<std::_Container_proxy>","64,059",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Getal","26,080",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",1,0.02,0.02,2.07,2.07,"MSVCP140D.dll",
"std::_Iterator_base12::_Getcont","66,317",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,bool,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,bool> >,0> >::_Kfn","35,898",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Destroy_range1<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","8,420",3.74,0.02,0.05,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1><>","16,218",0.04,0.02,0.00,0.00,"Project_Valerian.exe",
"FC_GetGlyphData","12,509",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Assign_rv_contents_with_alloc_always_equal","8,152",0.11,0.02,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::size","16,054",1.00,0.02,0.01,0.00,"Project_Valerian.exe",
"std::_Uninitialized_copy_al_unchecked<std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","3,458",3.58,0.02,0.12,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::operator==","20,260",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator=","8,165",0.12,0.02,0.00,0.00,"Project_Valerian.exe",
"Item::Item","48,640",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
