Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Spritesheet::Init",7,0.68,0.68,8.08,8.06,"Project_Valerian.exe",
"Object::Collect_Bus_Messages",584,16.00,0.46,2.28,0.07,"Project_Valerian.exe",
"AI_Rel_Component::Check_For_Messages",583,0.57,0.43,0.08,0.06,"Project_Valerian.exe",
"std::_Debug_lt_pred<std::less<Coordinate> const &,Coordinate const &,Coordinate const &>","193,574",1.63,0.36,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Alloc_proxy","56,311",4.31,0.35,0.01,0.00,"Project_Valerian.exe",
"Spritesheet::Draw_Directly","8,986",0.34,0.34,0.00,0.00,"Project_Valerian.exe",
"FC_UploadGlyphCache",5,0.31,0.31,5.10,5.08,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::~_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","73,737",2.37,0.30,0.00,0.00,"Project_Valerian.exe",
"operator delete","57,622",0.29,0.29,0.00,0.00,"Project_Valerian.exe",
"??0_Lockit@std@@QAE@H@Z","285,062",0.26,0.26,0.00,0.00,"MSVCP140D.dll",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Key","186,305",0.48,0.25,0.00,0.00,"Project_Valerian.exe",
"??1_Lockit@std@@QAE@XZ","285,062",0.25,0.25,0.00,0.00,"MSVCP140D.dll",
"std::_Iterator_base12::operator=","51,150",2.29,0.24,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Set_Sprite_As_Render_Target","10,882",0.22,0.22,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Handle_Stat_Message","89,199",0.26,0.21,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct_lv_contents","34,751",0.40,0.20,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Free_proxy","46,472",1.98,0.19,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Assign_rv_contents_with_alloc_always_equal","7,971",1.85,0.19,0.02,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Kfn","187,459",0.22,0.17,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Eqrange<Coordinate>","5,427",3.13,0.17,0.05,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Get_second","626,263",0.17,0.17,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_String_alloc<std::_String_base_types<char,std::allocator<char> > ><std::allocator<char>,void>","40,464",2.96,0.16,0.01,0.00,"Project_Valerian.exe",
"Draw_System::__autoclassinit2",1,0.13,0.13,11.17,11.17,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","30,465",0.27,0.13,0.00,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Adopt","84,831",1.52,0.12,0.00,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Orphan_me","169,742",0.13,0.12,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Compare","81,720",1.96,0.12,0.00,0.00,"Project_Valerian.exe",
"Coordinate::operator<","315,330",0.12,0.12,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Get_data","125,604",0.15,0.11,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Getal","122,371",0.14,0.11,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myfirst","24,376",0.13,0.10,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Lbound<Coordinate>","8,904",2.28,0.09,0.02,0.00,"Project_Valerian.exe",
"std::_Allocate<8,std::_Default_allocate_traits,0>","69,118",0.53,0.08,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1><std::allocator<char> >","40,464",0.16,0.08,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>","61,145",0.11,0.08,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::push_back","23,303",0.18,0.07,0.00,0.00,"Project_Valerian.exe",
"FC_LoadFont_RW",5,1.53,0.07,25.51,1.23,"Project_Valerian.exe",
"std::allocator<std::_Container_proxy>::allocate","61,145",1.75,0.07,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","34,751",3.19,0.07,0.01,0.00,"Project_Valerian.exe",
"Scene_Graph::Create_New_Structure",604,13.63,0.06,1.88,0.01,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_String_val<std::_Simple_types<char> >","56,311",0.10,0.06,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::~_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>","46,472",0.12,0.06,0.00,0.00,"Project_Valerian.exe",
"std::map<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> > >::_Try_emplace<Coordinate const &>","8,904",4.83,0.06,0.05,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::~_String_alloc<std::_String_base_types<char,std::allocator<char> > >","46,472",2.15,0.06,0.00,0.00,"Project_Valerian.exe",
"Draw_System::Add_New_Spritesheet_To_Multisprite",368,0.89,0.06,0.20,0.01,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::~basic_string<char,std::char_traits<char>,std::allocator<char> >","46,472",9.15,0.05,0.02,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>::~_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>","11,174",0.08,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::construct<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::basic_string<char,std::char_traits<char>,std::allocator<char> > &>","32,103",3.06,0.05,0.01,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::_Container_proxy> >::deallocate","50,667",0.32,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Get_data","53,393",0.07,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Getal","49,900",0.07,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","42,068",2.32,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::less<Coordinate>,std::_Compressed_pair<std::allocator<std::_Tree_node<std::pair<Coordinate const ,Tile>,void *> >,std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,1>,1>::_Get_first","176,295",0.05,0.05,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::max_size","12,610",0.09,0.05,0.00,0.00,"Project_Valerian.exe",
"Object::Get_Assigned_Flag","183,903",0.05,0.05,0.00,0.00,"Project_Valerian.exe",
"AI_Movement_Component::Return_Grid_Coord","441,906",0.05,0.05,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Get_data","51,261",0.06,0.05,0.00,0.00,"Project_Valerian.exe",
"AI_Stats_Component::Update_Stat","351,549",0.04,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::~_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","73,737",2.41,0.04,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Tidy_init","23,818",0.11,0.04,0.00,0.00,"Project_Valerian.exe",
"Item_Slot::Item_Slot","48,640",0.06,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::~_String_val<std::_Simple_types<char> >","46,472",0.05,0.04,0.00,0.00,"Project_Valerian.exe",
"std::getline<char,std::char_traits<char>,std::allocator<char> >",106,0.27,0.04,0.21,0.03,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_String_alloc<std::_String_base_types<char,std::allocator<char> > >","15,846",1.78,0.04,0.01,0.00,"Project_Valerian.exe",
"std::_Deallocate_plain<std::allocator<std::_Container_proxy>,0>","50,667",0.97,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Destroy_range1<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","8,420",8.18,0.04,0.08,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Large_string_engaged","130,973",0.04,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0>::_Kfn<Coordinate const ,Tile>","187,459",0.04,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocate_traits::_Allocate","69,118",0.46,0.04,0.00,0.00,"Project_Valerian.exe",
"std::basic_filebuf<char,std::char_traits<char> >::open",8,0.04,0.04,0.40,0.39,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Myptr","41,119",0.05,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Mylast","27,622",0.07,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Orphan_all","8,444",0.07,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Myptr","33,153",0.05,0.04,0.00,0.00,"Project_Valerian.exe",
"std::_Default_allocator_traits<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::destroy<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >","37,837",8.13,0.03,0.02,0.00,"Project_Valerian.exe",
"std::_Deallocate<8,0>","57,622",0.32,0.03,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","10,397",0.10,0.03,0.00,0.00,"Project_Valerian.exe",
"__security_check_cookie","978,091",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Uninitialized_copy_al_unchecked<std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","3,458",4.47,0.03,0.11,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::_Vector_val<std::_Simple_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,1>::_Get_second","125,604",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"std::char_traits<char>::assign","129,657",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1><>","15,846",0.07,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Get_first","122,371",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myproxy","23,370",0.06,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Mylast","21,277",0.06,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,bool,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,bool> >,0> >::_Eqrange<Coordinate>","1,224",0.19,0.03,0.01,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Iterator_base12","50,475",2.31,0.03,0.00,0.00,"Project_Valerian.exe",
"rand","7,170",0.03,0.03,0.00,0.00,"ucrtbased.dll",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::`scalar deleting destructor'","37,837",8.09,0.03,0.02,0.00,"Project_Valerian.exe",
"std::char_traits<char>::copy","35,404",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > >,std::_Iterator_base12>","42,068",2.27,0.03,0.00,0.00,"Project_Valerian.exe",
"std::allocator<std::_Container_proxy>::allocator<std::_Container_proxy><char>","102,783",0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"AI_Job_Component::Clear_Instruction_Array",608,0.03,0.03,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_comp_alloc<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Get_data","20,820",0.04,0.03,0.00,0.00,"Project_Valerian.exe",
"operator new","109,085",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Alloc_proxy","3,895",0.11,0.02,0.00,0.00,"Project_Valerian.exe",
"FC_LoadFont",5,1.56,0.02,25.89,0.37,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::lower_bound","8,904",2.41,0.02,0.02,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::operator==","18,399",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::operator[]","11,318",0.21,0.02,0.00,0.00,"Project_Valerian.exe",
"std::map<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> > >::operator[]","8,904",5.00,0.02,0.05,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Getal","26,080",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree<std::_Tmap_traits<Coordinate,bool,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,bool> >,0> >::_Key","17,675",0.04,0.02,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::size","16,054",0.18,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Container_base12::_Container_base12","61,145",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_String_val<std::_Simple_types<char> >::_Bxty::_Bxty","56,311",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >","30,465",0.29,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Get_size_of_n<8>","61,159",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >","3,458",6.12,0.02,0.15,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<char>,std::_String_val<std::_Simple_types<char> >,1>::_Get_first","49,900",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Myend","12,339",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Uninitialized_move_al_unchecked<std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::basic_string<char,std::char_traits<char>,std::allocator<char> > *,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >",654,1.89,0.02,0.24,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::_Buy","3,556",1.43,0.02,0.03,0.00,"Project_Valerian.exe",
"std::_Tree_comp_alloc<std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0> >::_Get_data","14,933",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::forward<std::allocator<char> >","80,928",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign","7,857",0.09,0.02,0.00,0.00,"Project_Valerian.exe",
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >::_Tidy","3,895",8.11,0.02,0.17,0.00,"Project_Valerian.exe",
"std::addressof<std::_String_val<std::_Simple_types<char> > >","72,253",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Debug_lt_pred<std::less<Coordinate> &,Coordinate const &,Coordinate const &>","10,406",0.03,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Container_proxy::_Container_proxy","61,145",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"Item::Item","48,640",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >","5,713",2.14,0.02,0.03,0.00,"Project_Valerian.exe",
"std::_Iterator_base12::_Getcont","54,934",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Vector_alloc<std::_Vec_base_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > > >::_Free_proxy","3,895",0.12,0.02,0.00,0.00,"Project_Valerian.exe",
"std::_Unfancy<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >","75,674",0.02,0.02,0.00,0.00,"Project_Valerian.exe",
"`eh vector constructor iterator'",634,0.54,0.02,0.07,0.00,"Project_Valerian.exe",
"std::_Compressed_pair<std::allocator<std::basic_string<char,std::char_traits<char>,std::allocator<char> > >,std::_Vector_val<std::_Simple_types<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,1>::_Get_second","53,393",0.01,0.01,0.00,0.00,"Project_Valerian.exe",
"std::pair<std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >,bool>::pair<std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >,bool><std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > > &,bool,0>","8,302",0.12,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,Tile> > > >::operator->","8,904",0.05,0.01,0.00,0.00,"Project_Valerian.exe",
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::size","9,489",0.03,0.01,0.00,0.00,"Project_Valerian.exe",
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<std::pair<Coordinate const ,bool> > >,std::_Iterator_base12>","3,216",0.03,0.01,0.00,0.00,"Project_Valerian.exe",
"std::forward<std::_Container_proxy>","61,145",0.01,0.01,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::is_init","35,008",0.01,0.01,0.00,0.00,"Project_Valerian.exe",
